Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,13719,-,-,India,23.95,71.15,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed,Fill Flag
2014,1,1,0,30,0,0,0,0,0,0,-3,13.853167134338605,1009.4505004882812,30.00132808420054,175.66499327550645,1.1169329099204939,0.0,33.32545852661133,4.555793762207031,0
2014,1,1,1,30,0,0,0,0,0,0,-2,13.673648144428341,1008.9622192382812,32.70495760672058,170.4519405116907,1.2144354188180126,0.0,39.90402603149414,4.449722766876221,0
2014,1,1,2,30,0,0,0,0,0,0,-1,13.719444951642458,1008.7579956054688,35.268397224002534,156.75407206774787,1.3092212718920067,0.0,43.779354095458984,4.162603378295898,0
2014,1,1,3,30,0,0,0,0,0,0,0,13.61701916751747,1008.8235473632812,38.39644696251043,143.10506123435442,1.4016111876330495,0.0,46.53582763671875,3.8804993629455566,0
2014,1,1,4,30,0,0,0,0,0,0,0,13.256109419791414,1009.1328735351562,42.046965973474734,129.56909111258506,1.5000831544847488,0.0,48.265525817871094,3.6939361095428467,0
2014,1,1,5,30,0,0,0,0,0,0,-8,5.239967142815146,1015.6762084960938,36.451545330752374,116.23349387215421,0.34008321410308645,0.0,38.890865325927734,4.652748107910156,0
2014,1,1,6,30,0,0,0,0,0,0,-8,4.753098655645317,1016.1072387695312,38.237306807988304,103.14720927631528,0.3768151581170054,0.0,39.36477279663086,4.428262710571289,0
2014,1,1,7,30,0,0,0,1,1,1,-7,5.484006265773985,1016.9019165039062,38.006653299062016,90.46341673776293,0.41556966937900763,0.0,39.108802795410156,4.127198696136475,0
2014,1,1,8,30,86,278,142,84,356,156,-7,8.318402603600703,1017.8890380859375,32.069068081962264,78.41324399244778,0.4540952208306137,0.0,38.44172668457031,3.4684815406799316,0
2014,1,1,9,30,134,534,340,137,582,362,-5,12.474461553060166,1018.2716064453125,28.585459199285506,67.33182286373422,0.4998476838668613,0.0,35.105247497558594,2.9280948638916016,0
2014,1,1,10,30,160,657,511,168,698,540,-3,17.447161343995845,1017.6635131835938,23.851400619999065,57.79869025228796,0.5476464387598646,0.0,29.76639175415039,2.7423207759857178,0
2014,1,1,11,30,174,724,633,185,757,665,-5,21.697606523290574,1016.7258911132812,15.551166786471594,50.70539041009323,0.5906010383192042,0.0,31.724056243896484,2.93293833732605,0
2014,1,1,12,30,178,757,693,192,780,723,-4,23.68014059620873,1015.7438354492188,14.442725030079885,47.17271068998398,0.6238087819183042,0.0,26.226425170898438,2.754523992538452,0
2014,1,1,13,30,169,773,687,190,774,708,-4,24.360611141793868,1014.6873168945312,14.753411093604266,47.996474575955645,0.6448995511964117,0.0,20.38585662841797,2.755690097808838,0
2014,1,1,14,30,161,735,604,179,736,623,-3,24.062410094200857,1013.7899780273438,15.642536174849553,52.97334516085532,0.6548109801706693,0.0,17.839767456054688,2.9884450435638428,0
2014,1,1,15,30,146,652,462,158,655,474,-3,22.8878226513541,1013.7344360351562,17.08061008121718,61.093448106809184,0.6839937865995169,0.0,18.103012084960938,3.2951385974884033,0
2014,1,1,16,30,144,411,276,120,503,282,-1,20.53804395092385,1014.0958251953125,22.73557998508123,71.28532803386415,0.7083143237629927,0.0,16.340187072753906,3.582589626312256,0
2014,1,1,17,30,52,50,59,53,212,80,0,17.26872862857647,1014.7772216796875,30.294299743891834,82.77988420488998,0.7340037235991512,0.0,15.268051147460938,4.100747108459473,0
2014,1,1,18,30,0,0,0,0,0,0,-1,15.855485777052593,1015.7387084960938,31.22809439862864,95.09964768461589,0.761644249618272,0.0,17.99591827392578,4.565143585205078,0
2014,1,1,19,30,0,0,0,0,0,0,-1,14.808653948693632,1016.4331665039062,31.616198973629412,107.95008877390707,0.7966043841243282,0.0,21.3057861328125,4.741957187652588,0
2014,1,1,20,30,0,0,0,0,0,0,-2,13.816418067600466,1017.2241821289062,32.8198615988093,121.15146652391465,0.8399124730808318,0.0,22.688247680664062,4.740370273590088,0
2014,1,1,21,30,0,0,0,0,0,0,-2,12.905665032684112,1017.3314819335938,34.277018951456085,134.58654579036755,0.8568278892484676,0.0,23.082984924316406,4.681851863861084,0
2014,1,1,22,30,0,0,0,0,0,0,-2,12.026296132559196,1017.053466796875,36.106866548364344,148.17451391375505,0.8786864696461244,0.0,23.954986572265625,4.568687915802002,0
2014,1,1,23,30,0,0,0,0,0,0,-2,11.20699832247675,1016.5227661132812,38.3044995001278,161.85262213940445,0.9066004713325665,0.0,26.20944595336914,4.4222846031188965,0
2014,1,2,0,30,0,0,0,0,0,0,-2,10.433277995444541,1016.0028076171875,40.818659956342756,175.510116102576,0.9475321304570792,0.0,28.878074645996094,4.301817893981934,0
2014,1,2,1,30,0,0,0,0,0,0,-2,9.7168179840682,1015.6427001953125,43.65210112043316,170.57228483975626,1.0135123007965596,0.0,30.914352416992188,4.191138744354248,0
2014,1,2,2,30,0,0,0,0,0,0,-1,9.090316983204275,1015.1091918945312,46.81454934002981,156.8750200879829,1.1066918917846802,0.0,34.42760467529297,3.997284173965454,0
2014,1,2,3,30,0,0,0,0,0,0,-1,8.556660915398481,1014.762939453125,50.20464781079814,143.22099895141417,1.2109412988311288,0.0,37.89299774169922,3.745779037475586,0
2014,1,2,4,30,0,0,0,0,0,0,0,8.141771588227641,1014.7988891601562,53.43048382400156,129.67814390998234,1.3223801027548074,0.0,39.94597625732422,3.5194859504699707,0
2014,1,2,5,30,0,0,0,0,0,0,0,7.8143154436540385,1015.0863037109375,56.304108060664234,116.31348916356399,1.4369107172333089,0.0,40.883853912353516,3.3075642585754395,0
2014,1,2,6,30,0,0,0,0,0,0,0,7.581597700971827,1015.7667846679688,58.68455910784143,103.21849301756885,1.5402253834260713,0.0,42.311954498291016,3.1420278549194336,0
