Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,13719,-,-,India,23.95,71.15,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed,Fill Flag
2004,1,1,0,30,0,0,0,0,0,0,6,14.741625112080158,1010.3538818359375,59.398232253819685,175.60725802868086,1.0637226548830099,0.0,250.34268188476562,4.154980659484863,0
2004,1,1,1,30,0,0,0,0,0,0,7,14.101473623826166,1010.4175415039062,62.87015785255762,170.49908432586025,1.072473415854996,0.0,251.8232421875,3.853837013244629,0
2004,1,1,2,30,0,0,0,0,0,0,7,13.567270306499267,1010.3021850585938,65.74893136700796,156.80131511260592,1.0907293710888184,0.0,251.92263793945312,3.6554932594299316,0
2004,1,1,3,30,0,0,0,0,0,0,7,13.054087113968421,1010.2001342773438,68.66749800952843,143.1506285396581,1.104129328583065,0.0,250.8166961669922,3.384860038757324,0
2004,1,1,4,30,0,0,0,0,0,0,7,12.595784987308264,1010.6878662109375,71.32914634551955,129.61235703128358,1.1117462554982953,0.0,247.72348022460938,3.070915699005127,0
2004,1,1,5,30,0,0,0,0,0,0,-1,14.514067772751105,1013.7654418945312,32.58514598264271,116.19164465735092,1.110001055202931,0.0,358.64385986328125,2.3011457920074463,0
2004,1,1,6,30,0,0,0,0,0,0,-2,14.13348460907639,1014.189453125,32.7700689929235,103.1101011833964,1.1461721723464386,0.0,357.8138427734375,2.0266287326812744,0
2004,1,1,7,30,0,0,0,1,0,1,-1,15.234160432975955,1015.0762329101562,30.843642059869115,90.43260571009574,1.184018829198755,0.0,352.9403991699219,1.768773078918457,0
2004,1,1,8,30,83,318,147,80,342,149,-2,18.76654257839732,1016.0355834960938,23.084709616425194,78.3901331831386,1.2411867916487027,0.0,348.12322998046875,1.4357985258102417,0
2004,1,1,9,30,134,525,337,127,574,349,-3,22.356765545123324,1016.7911376953125,17.68136236207014,67.31934666532278,1.3178319572944166,0.0,340.41241455078125,1.087800145149231,0
2004,1,1,10,30,167,627,502,154,692,523,-1,26.536980049503086,1016.573974609375,15.888660964235546,57.80059712503013,1.3854206440371968,0.0,319.92474365234375,1.724613904953003,0
2004,1,1,11,30,201,684,634,169,751,645,1,28.45184889288123,1015.653564453125,17.211219463592244,50.725842779866625,1.433974137496077,0.0,313.79693603515625,2.4846558570861816,0
2004,1,1,12,30,247,570,635,175,775,702,1,29.130882791995475,1014.6859741210938,17.139500414221352,47.21382714151115,1.4713509565847287,0.0,314.808837890625,2.657933473587036,0
2004,1,1,13,30,227,615,639,174,769,688,1,29.16312361263556,1013.319580078125,17.172434191049195,48.055168439569734,1.488626173830811,0.0,317.46435546875,2.676793336868286,0
2004,1,1,14,30,170,709,597,164,732,605,1,28.504837266828986,1012.5204467773438,17.81846532423252,53.0426069744636,1.487787864748213,0.0,319.8441162109375,2.6309680938720703,0
2004,1,1,15,30,148,627,451,145,653,460,1,27.314703604512715,1012.0595092773438,19.101564593321076,61.167013031854566,1.4802613448706694,0.0,321.54425048828125,2.5679755210876465,0
2004,1,1,16,30,112,501,272,112,501,272,1,25.472366940695565,1012.1532592773438,21.32991105003999,71.35955809821367,1.4612700534935017,0.0,324.99822998046875,2.5151379108428955,0
2004,1,1,17,30,50,43,56,52,198,76,2,22.265498932150933,1012.5403442382812,27.146381619619074,82.85307616031974,1.4342940465363776,0.0,331.6505126953125,2.584188938140869,0
2004,1,1,18,30,0,0,0,0,0,0,2,20.89493564423873,1013.1052856445312,28.79520604535583,95.17107417895885,1.4079888377482592,0.0,337.05377197265625,2.797354221343994,0
2004,1,1,19,30,0,0,0,0,0,0,1,19.956166834063765,1013.7916259765625,29.30153784887255,108.01950356049589,1.3889244597981734,0.0,343.1036682128906,2.914897918701172,0
2004,1,1,20,30,0,0,0,0,0,0,0,19.059802110627572,1014.0887451171875,29.791887945105188,121.21881051389344,1.3630774464012176,0.0,349.1795349121094,3.0312294960021973,0
2004,1,1,21,30,0,0,0,0,0,0,0,18.172752377589518,1014.26318359375,30.404813287871285,134.65186283450646,1.3272203114694234,0.0,353.5372009277344,3.2295539379119873,0
2004,1,1,22,30,0,0,0,0,0,0,0,17.26794763056961,1014.0167236328125,31.271243762810734,148.23796648346962,1.2994820406948482,0.0,358.20281982421875,3.338488817214966,0
2004,1,1,23,30,0,0,0,0,0,0,0,16.388966504723896,1013.4592895507812,32.24668894133824,161.91479316564698,1.2739800282724967,0.0,2.7830657958984375,3.3331210613250732,0
2004,1,2,0,30,0,0,0,0,0,0,0,15.629529169969942,1013.3013305664062,33.102257790604426,175.57664108507038,1.2485836595755662,0.0,6.377525329589844,3.3070180416107178,0
2004,1,2,1,30,0,0,0,0,0,0,0,14.961001457833504,1013.1735229492188,33.80744974262317,170.5230924409932,1.2184016259488155,0.0,9.142402648925781,3.3130648136138916,0
2004,1,2,2,30,0,0,0,0,0,0,-1,14.320802275981976,1012.9531860351562,34.374109459870446,156.82542695394125,1.1779870235418226,0.0,8.270957946777344,3.3013718128204346,0
2004,1,2,3,30,0,0,0,0,0,0,-1,13.717984708584822,1012.4652709960938,34.76050729902415,143.1737651251715,1.1453272050035166,0.0,5.862205505371094,3.27858304977417,0
2004,1,2,4,30,0,0,0,0,0,0,-2,13.1566597869965,1012.7864379882812,34.93877078573223,129.6341546763283,1.123795306669302,0.0,3.5650863647460938,3.293433904647827,0
2004,1,2,5,30,0,0,0,0,0,0,-2,12.650824553587313,1013.611328125,34.847574988143954,116.27353266899719,1.1108721538505446,0.0,2.0225067138671875,3.3529839515686035,0
2004,1,2,6,30,0,0,0,0,0,0,-3,12.170793510082888,1014.1846923828125,34.599951353063965,103.18354506170071,1.1013803850325756,0.0,1.5330810546875,3.3752329349517822,0
2004,1,2,7,30,0,0,0,1,0,1,-3,13.05177179952642,1015.0294799804688,31.674950183243595,90.49508132754762,1.0918322723178566,0.0,1.9467697143554688,3.258000373840332,0
2004,1,2,8,30,80,344,149,80,344,149,-3,16.03084250697549,1016.1845703125,25.44985521956617,78.4384761428793,1.0813600213238466,0.0,6.02081298828125,2.62457013130188,0
2004,1,2,9,30,129,553,342,128,582,352,-3,19.98901746987491,1016.7138671875,19.901511613864713,67.34838353501034,1.0482553856958507,0.0,9.120223999023438,2.009089946746826,0
2004,1,2,10,30,159,652,507,155,703,530,-4,24.88749719567039,1016.3440551757812,14.475086700618789,57.80333299275229,1.0156299668008775,0.0,11.812774658203125,2.228046178817749,0
2004,1,2,11,30,162,754,640,171,766,656,-3,27.409380365671268,1015.0015258789062,13.380581540665656,50.694313977961045,0.9960261448385591,0.0,10.341949462890625,1.891900897026062,0
2004,1,2,12,30,170,769,694,177,791,715,-2,28.681579749206094,1013.9737548828125,12.796344926644565,47.14357521022097,0.9842019395763585,0.0,3.8304443359375,1.6969876289367676,0
2004,1,2,13,30,175,771,692,176,786,703,-2,29.03335454221923,1012.7364501953125,12.392652288628092,47.95127908666144,0.9630809041480216,0.0,356.9549865722656,1.6996912956237793,0
2004,1,2,14,30,178,682,590,167,752,620,-3,28.546784744298634,1011.8790893554688,12.361145411147737,52.917751899698686,0.9152901550241034,0.0,351.776611328125,1.810570240020752,0
2004,1,2,15,30,139,667,463,148,674,474,-3,27.24253879748818,1011.8466186523438,12.919476939390556,61.032878603867886,0.8868718216697342,0.0,348.514892578125,1.9769254922866821,0
2004,1,2,16,30,115,521,283,115,521,283,-3,25.026501931828648,1012.1478881835938,14.559788822737252,71.22312415799578,0.8585203419286119,0.0,345.9696350097656,2.2158005237579346,0
2004,1,2,17,30,54,214,81,54,214,81,-2,21.52169667227298,1012.8676147460938,19.57899033837835,82.71774284356106,0.8445871730511298,0.0,341.7230224609375,2.689936399459839,0
2004,1,2,18,30,0,0,0,0,0,0,-3,20.166150917953246,1013.4509887695312,20.29141488972315,95.03830485266971,0.8404223769033323,0.0,342.4775695800781,3.2265677452087402,0
2004,1,2,19,30,0,0,0,0,0,0,-3,19.22665814500698,1014.2747192382812,20.53034759665179,107.88991957304196,0.8438789551017051,0.0,345.5321044921875,3.5764191150665283,0
2004,1,2,20,30,0,0,0,0,0,0,-4,18.3870502688913,1014.7689819335938,21.084897651274815,121.09261341981646,0.8481752453355201,0.0,348.77252197265625,3.96389102935791,0
2004,1,2,21,30,0,0,0,0,0,0,-4,17.55736151824948,1014.6953735351562,22.078729381220473,134.52904089986515,0.8665262173616398,0.0,352.1197814941406,4.219080924987793,0
2004,1,2,22,30,0,0,0,0,0,0,-4,16.644379836502594,1014.3616943359375,23.56901027894259,148.1182803586597,0.8837385875736676,0.0,354.7576599121094,4.326345920562744,0
2004,1,2,23,30,0,0,0,0,0,0,-4,15.722189887815205,1014.2688598632812,25.327053170848014,161.7972576904578,0.8991905697547685,0.0,356.9405212402344,4.326129913330078,0
2004,1,3,0,30,0,0,0,0,0,0,-3,14.800144710452741,1014.068115234375,27.512592252061868,175.45165515242076,0.9098802967633479,0.0,358.8708190917969,4.288364887237549,0
2004,1,3,1,30,0,0,0,0,0,0,-3,13.906004615019583,1013.928955078125,30.14110936494555,170.61781055167813,0.9087042000219759,0.0,0.6435470581054688,4.284283638000488,0
2004,1,3,2,30,0,0,0,0,0,0,-2,13.000445322463065,1013.6162109375,33.182920977724486,156.92099092770366,0.8989818764683908,0.0,4.59881591796875,4.206645488739014,0
2004,1,3,3,30,0,0,0,0,0,0,-2,12.168525809549692,1013.6974487304688,36.11590367982026,143.26521137544546,0.87821711878427,0.0,9.588775634765625,4.1192545890808105,0
2004,1,3,4,30,0,0,0,0,0,0,-2,11.437132864645946,1013.9536743164062,38.80226504452432,129.7198887201494,0.8541158749397892,0.0,14.557357788085938,4.035958290100098,0
2004,1,3,5,30,0,0,0,0,0,0,-1,10.795413748061662,1014.4121704101562,41.24454562102577,116.35212864063791,0.8282682972909767,0.0,19.040283203125,3.9621763229370117,0
2004,1,3,6,30,0,0,0,0,0,0,-1,10.222008831539199,1015.0536499023438,43.59255882986999,103.25323160992572,0.8038867866161641,0.0,22.644912719726562,3.893293619155884,0
2004,1,3,7,30,0,0,0,1,0,1,-1,10.891080154959127,1015.9664916992188,42.47404021725721,90.55325478399213,0.7750601657316449,0.0,25.073287963867188,3.730332374572754,0
2004,1,3,8,30,84,302,145,81,353,151,-1,13.77796063918015,1016.88818359375,35.958925611833926,78.48188935522535,0.7454686072658226,0.0,25.078231811523438,3.1837141513824463,0
2004,1,3,9,30,129,594,358,129,594,358,0,18.22690024307525,1017.4052124023438,27.528506182649366,67.37176841201119,0.7334874584372311,0.0,20.467430114746094,2.849780797958374,0
2004,1,3,10,30,158,665,513,157,715,538,-1,22.899627219402305,1016.9287109375,20.02301371278052,57.79964089889075,0.7308132672592589,0.0,17.368179321289062,3.271933078765869,0
2004,1,3,11,30,154,777,647,172,777,665,-1,26.220724269815094,1015.706298828125,15.788468193392102,50.655673174227964,0.7329904958825804,0.0,16.50354766845703,3.562182664871216,0
2004,1,3,12,30,179,801,725,179,801,725,-2,27.706935387087412,1014.512451171875,13.953211333746035,47.06592410887841,0.7397833684512712,0.0,13.415206909179688,3.473802089691162,0
2004,1,3,13,30,177,796,712,177,796,712,-3,28.21954594069075,1013.5313110351562,12.770742967905486,47.84039804818598,0.7457969885195177,0.0,11.124809265136719,3.4026291370391846,0
2004,1,3,14,30,168,760,627,168,760,627,-3,27.88620416608427,1012.6162109375,12.452738960178987,52.786909927494264,0.7507557895412428,0.0,8.26239013671875,3.3610196113586426,0
2004,1,3,15,30,149,681,480,149,681,480,-4,26.696822315552993,1012.767578125,12.967609144183365,60.893956074664786,0.7565354203902831,0.0,3.5674896240234375,3.5011322498321533,0
2004,1,3,16,30,140,439,283,115,528,287,-4,24.64114390099951,1013.468505859375,14.495243633770812,71.08300833833884,0.7636934505008752,0.0,356.654541015625,3.7362313270568848,0
2004,1,3,17,30,58,72,68,55,220,84,-3,21.38804589456589,1014.089111328125,18.009375745922267,82.57965711231978,0.7690769255896452,0.0,351.2312316894531,4.079071998596191,0
2004,1,3,18,30,0,0,0,0,0,0,-3,19.846334356668365,1014.9837036132812,19.701457751249464,94.90354089252476,0.7649022823961271,0.0,353.336669921875,4.532844066619873,0
2004,1,3,19,30,0,0,0,0,0,0,-4,18.84982848234199,1015.5753173828125,20.885387007729815,107.75896275103894,0.7466214909165503,0.0,358.6559143066406,4.6953444480896,0
2004,1,3,20,30,0,0,0,0,0,0,-3,17.855036478843772,1015.8790893554688,22.290754008198537,120.96555524314499,0.7293130947936749,0.0,4.350883483886719,4.753377437591553,0
2004,1,3,21,30,0,0,0,0,0,0,-4,16.847748351620623,1015.6361694335938,23.7100405869475,134.405772954756,0.7179495079637731,0.0,9.398483276367188,4.721669673919678,0
2004,1,3,22,30,0,0,0,0,0,0,-4,15.859095091646907,1015.089599609375,24.918083763342082,147.99845205008694,0.6972640112860675,0.0,13.870933532714844,4.637606143951416,0
2004,1,3,23,30,0,0,0,0,0,0,-4,14.94180463234818,1014.6430053710938,26.438481845296014,161.6796558567068,0.6811639973062081,0.0,17.166549682617188,4.546721458435059,0
2004,1,4,0,30,0,0,0,0,0,0,-3,14.164094446323134,1014.8084106445312,28.473961563076315,175.32518631573578,0.6859236577302443,0.0,18.09417724609375,4.566686153411865,0
2004,1,4,1,30,0,0,0,0,0,0,-3,13.502969450388889,1014.6956176757812,30.815163907561775,170.70911223816836,0.7119655791324391,0.0,18.382125854492188,4.686027526855469,0
